Dataset,Target,Model,Horizon,RMSE_Baseline,RMSE_Actor,Delta_RMSE,MAE_Baseline,MAE_Actor,Delta_MAE,R2_Baseline,R2_Actor,Delta_R2,p_RMSE,p_MAE,RMSE_Significant_Improvement,MAE_Significant_Improvement
BPIC 2017,Avg_Remaining_Time,SARIMAX,7,115.373,30.0053,85.3673,75.7968,24.9586,50.8382,-0.19971,0.918854,1.11856,2.70831e-10,7.23169e-09,True,True
BPIC 2017,Avg_Remaining_Time,ARX-HAC,1,23.4434,15.7272,7.716200000000001,18.0056,12.6909,5.314700000000002,0.947399,0.976327,0.028927999999999954,5.49662e-05,0.000142548,True,True
BPIC 2017,Avg_Remaining_Time,ARX-HAC,3,57.3566,46.6823,10.674300000000002,42.0785,36.7344,5.344099999999997,0.690846,0.795208,0.10436200000000007,0.00318149,0.00601921,True,True
BPIC 2017,Avg_Remaining_Time,ARX-HAC,7,79.7859,43.6185,36.1674,56.2621,34.9722,21.289899999999996,0.426249,0.82852,0.40227100000000005,1.16215e-05,1.48928e-05,True,True
BPIC 2012,Avg_Elapsed_Time,XGBoost,1,15.158,10.923,4.235,11.44,9.116,2.324,0.939,0.968,0.029,0.001,0.001,True,True
BPIC 2012,Avg_Elapsed_Time,XGBoost,3,36.086,30.699,5.387,26.918,24.217,2.701,0.674,0.764,0.09,0.001,0.002,True,True
BPIC 2012,Avg_Elapsed_Time,XGBoost,7,65.307,60.672,4.635,45.941,47.853,-1.912,0.043,0.174,0.131,0.001,1.0,True,False
BPIC 2012,Avg_Elapsed_Time,LightGBM,1,15.717,10.159,5.558,11.804,8.402,3.402,0.934,0.973,0.038,0.001,0.001,True,True
BPIC 2012,Avg_Elapsed_Time,LightGBM,3,32.814,29.837,2.977,24.522,24.005,0.517,0.731,0.777,0.047,0.001,0.0049,True,True
BPIC 2012,Avg_Elapsed_Time,LightGBM,7,63.529,60.956,2.573,43.937,46.94,-3.003,0.095,0.166,0.072,0.001,1.0,True,False
BPIC 2012,Avg_Elapsed_Time,GRU+Attn,1,15.571,14.117,1.454,14.245,13.063,1.182,0.954,0.962,0.008,0.0137,0.0186,True,True
BPIC 2012,Avg_Elapsed_Time,GRU+Attn,3,41.057,38.68,2.377,38.584,36.454,2.13,0.666,0.701,0.035,0.0527,0.0527,False,False
BPIC 2012,Avg_Elapsed_Time,GRU+Attn,7,93.145,87.212,5.933,88.947,81.446,7.501,-2.173,-1.803,0.37,0.0527,0.0186,False,True
BPIC 2012,Avg_Elapsed_Time,LSTM+Attn,1,15.758,14.812,0.946,14.418,13.717,0.702,0.953,0.958,0.005,0.0527,0.0654,False,False
BPIC 2012,Avg_Elapsed_Time,LSTM+Attn,3,41.824,38.586,3.238,39.327,36.247,3.08,0.653,0.701,0.047,0.0244,0.0244,True,True
BPIC 2012,Avg_Elapsed_Time,LSTM+Attn,7,93.586,92.022,1.564,89.137,86.343,2.794,-2.202,-2.108,0.094,0.1875,0.1162,False,False
BPIC 2012,Avg_Elapsed_Time,SARIMAX,1,19.3241,20.7531,-1.4289999999999985,14.2732,14.8084,-0.5352000000000015,0.900973,0.885786,-0.015187000000000062,0.481617,0.525728,False,False
BPIC 2012,Avg_Elapsed_Time,SARIMAX,3,34.2974,38.3421,-4.044699999999999,25.5335,28.5573,-3.0238000000000014,0.705973,0.632536,-0.07343699999999997,0.993583,0.991784,False,False
BPIC 2012,Avg_Elapsed_Time,SARIMAX,7,68.7279,74.9532,-6.22529999999999,48.2182,53.1397,-4.921499999999995,-0.0596373,-0.260293,-0.2006557,0.999794,0.999891,False,False
BPIC 2012,Avg_Elapsed_Time,ARX-HAC,1,19.7297,21.7275,-1.997799999999998,14.5322,15.3725,-0.8403000000000009,0.896773,0.874809,-0.021964000000000095,0.474272,0.496322,False,False
BPIC 2012,Avg_Elapsed_Time,ARX-HAC,3,37.1423,41.6701,-4.527799999999999,27.3736,29.1792,-1.8056000000000019,0.655172,0.565976,-0.08919599999999994,0.893534,0.850578,False,False
BPIC 2012,Avg_Elapsed_Time,ARX-HAC,7,72.6403,66.1184,6.521900000000002,49.8857,47.1419,2.7438000000000002,-0.183715,0.0193008,0.2030158,0.0445145,0.151582,True,False
